,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
3485,2016,2,0,2915,3930,2,3939998,0,2,11,16
3521,1959,2,1,4410,2700,3,3900000,1,3,2,17
3523,1899,3,0,2500,3344,3,3900000,1,3,6,29
3527,1931,6,0,2300,3700,6,3900000,1,3,11,29
3587,1899,2,0,2000,3360,2,3850000,1,3,6,7
3609,1920,2,1,1200,2720,3,3825000,1,3,4,6
3611,1930,4,0,2200,4400,4,3825000,1,3,6,12
3617,1899,2,0,2492,1444,2,3820000,2,2,1,3
3672,1902,0,1,3756,6750,1,3800000,1,3,3,29
3673,1899,3,0,1760,4532,3,3800000,1,3,1,24
3674,1925,1,0,4000,2360,1,3800000,1,2.75,6,16
3675,1899,3,0,1900,3458,3,3800000,1,3,12,4
3690,1931,4,0,2358,2622,4,3790705,1,3,6,15
3692,1920,5,0,2100,4560,5,3782000,1,3,4,28
3697,1901,2,0,1900,3620,2,3780000,1,3,9,29
3753,1920,4,0,2200,3510,4,3750000,1,3,8,2
3769,1919,3,1,2500,3750,4,3740000,1,3,4,7
3784,1922,2,2,3833,5358,4,3712500,2,2,9,7
3790,1931,6,0,3000,4950,6,3704000,1,3,8,7
3832,1901,2,0,1972,4290,2,3700000,1,3,3,6
3833,1901,2,0,1726,2730,2,3700000,1,3,9,26
3834,1981,0,1,4000,4000,1,3700000,1,1,5,2
3848,1905,4,0,1900,3573,4,3685000,1,3,11,1
3854,1931,1,1,2500,2000,2,3680000,2,2,11,28
3863,1900,4,0,2500,3375,4,3670000,1,3,8,29
3903,1958,2,0,3750,5217,2,3650000,1,2,2,8
3904,1899,2,0,1700,2955,2,3650000,1,3,2,27
3905,1901,2,0,2000,4654,2,3650000,1,3,2,23
3924,1931,0,1,1942,3300,1,3625000,1,2,5,2
3992,1899,2,0,1950,2736,2,3600000,1,3,4,28
3993,1899,2,0,1317,2392,2,3600000,1,3,7,7
3996,1901,1,0,1700,2559,1,3600000,1,3,1,13
4010,1901,3,0,1710,3640,3,3594500,1,3,5,11
4027,2000,2,0,2520,3269,2,3575000,1,3,12,5
4053,1930,1,0,6000,3600,1,3550000,2,2.5,1,9
4054,1899,1,0,1700,2559,1,3550000,1,3,5,24
4055,1901,2,0,1950,2850,2,3550000,1,2,6,30
4081,1899,2,0,1667,3378,2,3525000,1,3,5,25
4087,1910,1,0,4000,1820,1,3515000,1,2,5,16
4182,1931,0,1,6490,3660,1,3500000,1,3,9,5
4185,2003,1,0,4007,5568,1,3500000,1,3,2,21
4186,1930,3,1,1600,3360,4,3500000,1,3,1,18
4197,1930,1,0,4000,2559,1,3500000,2,2.5,11,14
4198,1925,1,0,4000,2908,1,3500000,2,2,8,9
4199,1925,1,0,4000,1720,1,3500000,2,2.5,10,2
4210,1800,1,0,1020,3327,1,3500000,1,3,12,12
4235,1901,2,0,1867,3600,2,3495000,1,3,6,13
