,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
4,1927,0,1,20267.0,356000.0,1,202500000.0,1.0,15.0,10,31
6,1928,0,102,12500.0,290440.0,102,171000000.0,1.0,37.0,10,10
10,0,0,0,60400.0,0.0,0,160000000.0,1.0,0.0,4,19
13,1967,0,2,20704.0,253096.0,2,138106368.0,1.0,11.0,3,31
15,1992,0,1,21175.0,363100.0,1,135000000.0,1.0,28.5,8,29
19,1962,0,5,14800.0,223712.0,5,121313223.0,1.0,12.0,3,31
26,1918,0,3,21218.0,210488.0,3,102873750.0,2.0,8.0,3,31
28,1926,0,2,20600.0,181576.0,2,98463962.0,1.0,8.0,3,31
35,1960,0,1,20427.0,104239.0,1,87500000.0,1.0,11.0,5,9
56,1920,0,3,12415.0,36000.0,3,68000000.0,1.0,3.0,5,10
69,1976,0,1,23408.0,31204.0,1,60000000.0,1.0,1.0,11,7
77,1987,48,1,7575.0,90426.0,49,58000000.0,1.0,12.0,8,31
81,1911,103,1,24524.0,150595.0,104,55675000.0,1.0,11.0,2,1
86,1930,0,10,34602.0,129654.0,10,53000000.0,1.0,6.0,12,26
89,1957,0,1,58400.0,290356.0,1,52962546.0,1.0,5.0,7,11
94,1960,0,1,25477.0,0.0,1,52000000.0,1.0,2.0,6,15
97,1869,99,1,27127.0,91366.0,99,51000000.0,8.0,5.0,9,20
100,1909,0,2,8253.0,93263.0,2,50584955.0,1.0,9.0,3,31
107,0,0,0,165840.0,0.0,0,48000000.0,0.0,0.0,7,21
108,1920,0,1,89400.0,187465.0,1,47000000.0,1.0,3.0,10,2
109,2007,45,0,22400.0,56652.0,45,46900000.0,2.0,12.0,3,16
116,1984,9,0,6800.0,10140.0,9,45839605.0,3.0,3.0,6,13
117,1983,0,1,70008.0,49148.0,1,45680625.0,1.0,1.0,3,24
131,1920,0,2,8475.0,0.0,2,42500000.0,2.0,1.0,3,16
133,1920,0,1,200000.0,270000.0,1,42400000.0,2.0,2.0,5,1
153,1963,135,1,32470.0,124636.0,136,37000000.0,1.0,7.0,1,24
156,1906,24,0,6261.0,21000.0,24,36279474.0,2.0,4.0,6,13
159,0,0,0,11775.0,0.0,0,36000000.0,0.0,0.0,6,30
162,1920,0,1,21400.0,39865.0,1,35500000.0,1.0,3.0,5,23
164,2007,62,0,14775.0,60210.0,62,35250000.0,2.0,7.0,7,10
178,1920,0,0,13109.0,12968.0,0,33000000.0,1.0,1.0,11,17
203,1972,0,1,14240.0,28480.0,1,30500000.0,1.0,2.0,1,24
212,1962,0,4,109400.0,100000.0,4,30000000.0,1.0,1.0,3,2
213,1905,0,20,12606.0,57425.0,20,29950000.0,1.0,6.0,2,9
