,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
5904,1910,2,0,3405.0,2556.0,2,2785000.0,1.0,3.0,7,28
5928,1901,2,0,1800.0,2280.0,2,2765000.0,1.0,2.0,8,30
6012,1915,2,0,1917.0,3279.0,2,2750000.0,1.0,2.0,11,30
6228,1910,3,0,1950.0,2560.0,3,2695000.0,1.0,3.0,6,29
6360,1901,3,0,2000.0,2750.0,3,2650000.0,1.0,2.0,3,31
6384,1920,1,0,859.0,874.0,1,2645000.0,1.0,2.0,5,16
6720,1899,2,0,2000.0,2520.0,2,2550000.0,1.0,2.0,1,6
6768,1900,1,0,2000.0,1400.0,1,2535000.0,1.0,2.0,11,29
6792,1899,2,0,2520.0,3864.0,2,2525000.0,1.0,3.0,7,17
7008,1927,0,1,1950.0,3276.0,1,2500000.0,1.0,2.0,12,7
7020,1899,2,0,2142.0,3652.0,2,2500000.0,1.0,3.0,2,21
7212,1901,2,0,1960.0,2783.0,2,2450000.0,1.0,2.0,12,11
7428,1910,2,0,1500.0,2300.0,2,2400000.0,1.0,2.0,7,7
7776,1901,3,0,1667.0,2160.0,3,2315625.0,1.0,3.0,9,27
7932,1910,4,0,2000.0,3480.0,4,2300000.0,1.0,3.0,2,13
7944,1899,3,0,2500.0,3375.0,3,2300000.0,1.0,3.0,12,19
7956,1935,0,1,2504.0,2500.0,1,2300000.0,1.0,1.0,11,21
8064,1899,2,0,1750.0,2295.0,2,2272500.0,1.0,2.0,9,6
8340,1899,3,0,1875.0,2100.0,3,2210000.0,2.0,3.0,9,29
8496,1910,1,0,4266.0,2160.0,1,2200000.0,1.0,2.0,4,27
8508,1901,2,0,2200.0,4008.0,2,2200000.0,1.0,3.0,5,18
8532,1901,3,0,1700.0,2016.0,3,2200000.0,1.0,3.0,10,31
8784,1925,1,0,3800.0,2372.0,1,2150000.0,2.0,2.0,8,23
8928,1899,2,0,2000.0,3195.0,2,2110000.0,1.0,2.0,11,22
8940,1970,3,0,2970.0,3300.0,3,2100500.0,1.0,2.0,8,8
9108,1899,1,0,1014.0,1728.0,1,2100000.0,1.0,2.0,4,5
9240,1930,4,0,2563.0,3600.0,4,2079000.0,1.0,3.0,8,29
9444,1901,2,0,1600.0,2544.0,2,2040000.0,1.0,2.0,8,2
9540,1910,3,0,900.0,1440.0,3,2020000.0,1.0,3.0,12,1
9840,1925,2,0,2905.0,1836.0,2,2000000.0,1.0,2.0,11,16
9864,1925,1,0,3750.0,3604.0,1,2000000.0,1.0,2.75,8,2
9936,1901,1,0,1013.0,1800.0,1,1999000.0,1.0,3.0,8,21
9984,1905,2,0,2000.0,3192.0,2,1987000.0,1.0,2.0,1,23
10224,1920,1,0,4000.0,1792.0,1,1950000.0,1.0,2.5,8,8
10644,1899,2,0,1600.0,2400.0,2,1900000.0,1.0,2.0,8,18
10656,1910,3,0,2003.0,3420.0,3,1900000.0,1.0,2.0,9,11
10896,1920,2,0,2500.0,2520.0,2,1875000.0,2.0,2.0,3,31
10992,1931,4,0,2000.0,2400.0,4,1855000.0,1.0,3.0,1,25
11124,1899,2,0,2000.0,2400.0,2,1850000.0,1.0,2.0,8,7
11136,1910,3,0,2175.0,2116.0,3,1850000.0,1.0,3.0,1,26
11340,1899,2,0,1517.0,1806.0,2,1825000.0,1.0,2.0,9,13
11688,1899,2,0,1875.0,2558.0,2,1800000.0,1.0,2.0,8,18
11700,1931,2,1,1017.0,2139.0,3,1800000.0,1.0,3.0,4,25
11712,1899,3,0,2000.0,2200.0,3,1800000.0,1.0,3.0,2,1
11724,1901,2,0,1307.0,1440.0,2,1800000.0,1.0,2.0,5,22
12228,1920,1,0,4000.0,2283.0,1,1750000.0,2.0,2.75,10,2
12240,1960,3,0,2003.0,3720.0,3,1750000.0,1.0,3.0,8,17
12504,1931,2,1,2000.0,3040.0,3,1725000.0,1.0,3.0,2,1
12816,1900,4,0,1667.0,2672.0,4,1700000.0,1.0,3.0,2,1
12936,1901,2,0,2003.0,3213.0,2,1695000.0,1.0,2.0,4,28
13032,1980,3,0,3030.0,3448.0,3,1680000.0,1.0,2.0,6,29
13428,1965,2,0,3801.0,2273.0,2,1650000.0,1.0,3.0,6,12
13440,1930,3,0,2550.0,4260.0,3,1650000.0,2.0,2.0,9,15
13452,1931,2,1,1890.0,2530.0,3,1650000.0,1.0,3.0,3,9
13476,1930,2,0,4000.0,2640.0,2,1650000.0,2.0,2.0,10,18
13584,1920,3,0,2187.0,3025.0,3,1640000.0,1.0,2.0,7,10
13596,1930,2,0,3333.0,2048.0,2,1639000.0,2.0,2.0,9,26
13752,1905,1,0,4125.0,3039.0,1,1625000.0,2.0,2.5,6,26
13812,1910,2,0,2612.0,3280.0,2,1620000.0,1.0,3.0,12,1
13836,1930,2,0,4000.0,3096.0,2,1615000.0,2.0,2.75,7,13
14184,1920,1,0,2955.0,1462.0,1,1600000.0,2.0,2.0,1,19
